timestamp,count,source,overlay_url
2025-08-25 05:36:40,1,esp32,
2025-08-25 05:36:41,1,esp32,
2025-08-25 05:36:45,0,esp32,
2025-08-25 05:36:46,0,esp32,
2025-08-25 05:36:47,0,esp32,
2025-08-25 05:36:49,0,esp32,
2025-08-25 05:36:50,0,esp32,
2025-08-25 05:36:51,0,esp32,
2025-08-25 05:36:53,1,esp32,
2025-08-25 05:36:54,0,esp32,
2025-08-25 05:36:55,1,esp32,
2025-08-25 05:36:57,0,esp32,
2025-08-25 05:36:58,0,esp32,
2025-08-25 05:36:58,0,esp32,
2025-08-25 05:37:00,0,esp32,
2025-08-25 05:37:01,0,esp32,
2025-08-25 05:37:02,0,esp32,
2025-08-25 05:37:03,0,esp32,
2025-08-25 05:37:05,0,esp32,
2025-08-25 05:37:06,0,esp32,
2025-08-25 05:37:08,0,esp32,
2025-08-25 05:37:09,1,esp32,
2025-08-25 05:37:10,0,esp32,
2025-08-25 05:37:11,0,esp32,
2025-08-25 05:37:13,0,esp32,
2025-08-25 05:37:14,0,esp32,
2025-08-25 05:37:15,0,esp32,
2025-08-25 05:37:17,0,esp32,
2025-08-25 05:37:18,1,esp32,
2025-08-25 05:37:20,2,esp32,
2025-08-25 05:37:22,2,esp32,
2025-08-25 05:37:24,1,esp32,
2025-08-25 05:37:25,1,esp32,
2025-08-25 05:37:27,0,esp32,
2025-08-25 05:37:29,0,esp32,
2025-08-25 05:37:30,0,esp32,
2025-08-25 05:38:08,0,esp32,
2025-08-25 05:38:56,1,esp32
